family,pair,src,donor,layer,acc_src,acc_donor,other
nonce,repetition->suffix_ed,repetition,suffix_ed,6,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,7,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,8,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,9,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,10,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,11,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,12,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,13,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,14,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,15,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,16,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,17,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,18,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,19,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,20,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,21,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,22,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,23,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,24,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,25,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,26,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,27,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,0,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,1,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,2,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,3,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,4,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,5,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,6,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,7,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,8,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,9,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,10,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,11,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,12,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,13,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,14,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,15,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,16,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,17,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,18,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,19,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,20,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,21,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,22,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,23,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,24,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,25,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,26,0.0,0.0,1.0
nonce,repetition->double_vowels,repetition,double_vowels,27,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,0,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,1,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,2,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,3,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,4,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,5,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,6,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,7,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,8,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,9,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,10,0.0,0.0,1.0
